id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude
13050516,jg230150,2023-04-19t20:25:00.000,048xx s calumet ave,051a,assault,aggravated - handgun,apartment,False,True,0224,002,38,04a,1179248,1873096,2023,2023-04-26t16:53:52.000,41.807064211,-87.618093625
13047745,jg230096,2023-04-19t20:25:00.000,007xx e 133rd pl,1320,criminal damage,to vehicle,street,False,True,0533,005,54,14,1183978,1817015,2023,2023-04-26t16:53:52.000,41.653062253,-87.60249209
13047657,jg230116,2023-04-19t20:25:00.000,094xx s lowe ave,1310,criminal damage,to property,residence,False,False,2223,022,73,14,1173630,1842357,2023,2023-04-26t16:53:52.000,41.72283918,-87.639607862
13048719,jg230944,2023-04-19t20:20:00.000,051xx s lake park ave,0860,theft,retail theft,department store,False,False,0234,002,41,06,1187537,1871358,2023,2023-04-26t16:53:52.000,41.802101704,-87.587747851
13048801,jg230107,2023-04-19t20:17:00.000,048xx s kedvale ave,051a,assault,aggravated - handgun,residence,False,False,0815,008,57,04a,1149510,1872271,2023,2023-04-26t16:53:52.000,41.805427629,-87.727185557
13047984,jg230447,2023-04-19t20:16:00.000,016xx e 53rd st,0910,motor vehicle theft,automobile,street,False,False,0234,002,41,07,1188307,1870451,2023,2023-04-26t16:53:52.000,41.79959447,-87.584952954
13048328,jg230093,2023-04-19t20:16:00.000,026xx w evergreen ave,0486,battery,domestic battery simple,apartment,False,True,1423,014,24,08b,1158636,1908880,2023,2023-04-26t16:53:52.000,41.905705116,-87.69271303
13047733,jg230113,2023-04-19t20:15:00.000,034xx w walnut st,143a,weapons violation,unlawful possession - handgun,sidewalk,True,False,1123,011,27,15,1153460,1901460,2023,2023-04-26t16:53:52.000,41.885448417,-87.711923777
13047729,jg230140,2023-04-19t20:15:00.000,053xx w congress pkwy,1581,sex offense,non-consensual dissemination of private sexual images,apartment,False,False,1522,015,25,17,1140926,1897166,2023,2023-04-26t16:53:52.000,41.873904973,-87.758057209
13049985,jg231969,2023-04-19t20:15:00.000,026xx w evergreen ave,0610,burglary,forcible entry,apartment,False,False,1423,014,24,05,1158636,1908880,2023,2023-04-26t16:53:52.000,41.905705116,-87.69271303
13047905,jg230080,2023-04-19t20:12:00.000,042xx n sheridan rd,0560,assault,simple,apartment,False,False,1915,019,3,08a,1168838,1928364,2023,2023-04-26t16:53:52.000,41.958954963,-87.654671132
13047690,jg230086,2023-04-19t20:12:00.000,075xx s stony island ave,0910,motor vehicle theft,automobile,hospital building / grounds,False,False,0411,004,43,07,1188234,1855158,2023,2023-04-26t16:53:52.000,41.757630995,-87.585708249
13047725,jg230101,2023-04-19t20:09:00.000,023xx s wood st,1310,criminal damage,to property,commercial / business office,False,False,1034,010,31,14,1164750,1888302,2023,2023-04-26t16:53:52.000,41.849109881,-87.670837682
13047678,jg230088,2023-04-19t20:09:00.000,021xx w lunt ave,0495,battery,aggravated of a senior citizen,apartment,False,True,2411,024,2,04b,1160460,1946475,2023,2023-04-26t16:53:52.000,42.008830215,-87.684967977
13047694,jg230081,2023-04-19t20:05:00.000,015xx w 33rd st,0320,robbery,strong arm - no weapon,small retail store,False,False,0912,009,59,03,1166400,1882880,2023,2023-04-26t16:53:52.000,41.834196296,-87.664936885
